"","Color_label_source","Subject","Chain","Generation","Condition","Confidence","Color_label_matched","Language.x","Age.x","Gender.x","Language_spoken.x","rt","Condition_label.x","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Unique_hue","Seed","Dif","RHAD","Error_rate_hue","Error_rate_sat","Condition_label.y","basic_colors","creative_name","Language.y","Hue_color_to_name","Saturation_color_to_name","Lightness_color_to_name","Vision_impairments","Age.y","Gender.y","Language_spoken.y","Participated_before"
"11","seed dark rose","chvc","0",11,"1",4,"seed dark rose","English","19","male","Polish",41730,"Pure transmission",50,50,57,84,315,297,372.2,327.55,75.2,168.421052631579,18,27,"Pure transmission","purple","purple","English",297,84,50,"no","19","male","Polish","no"
"12","seed dark rose","dt6w","1",0,"2",6,"seed dark rose","English","48","female","portuguese",18218,"Naming transmission",50,50,60,58,327.55,328,372.2,327.55,44.2,98.9921612541994,0.449999999999989,2,"Naming transmission","pink","shoking pink","English",328,58,50,"no","48","female","portuguese","no"
"13","seed dark rose","epj1","0",6,"2",4,"seed dark rose","English","43","male","spanish",17631,"Naming transmission",50,50,65,74,309,311,372.2,327.55,61.2,137.066069428891,2,9,"Naming transmission","pink","dark pink","English",311,74,50,"no","43","male","spanish","no"
"14","seed dark rose","eqex","0",1,"2",4,"seed dark rose","English","29","female","GermanAfrikaans",9420,"Naming transmission",50,50,52,46,321,328,372.2,327.55,44.2,98.9921612541994,7,6,"Naming transmission","pink","magenta","English",328,46,50,"no","29","female","GermanAfrikaans","no"
"15","seed dark rose","f54z","0",9,"1",6,"seed dark rose","English","22","male","Czech",47274,"Pure transmission",50,50,59,60,313,308,372.2,327.55,64.2,143.784994400896,5,1,"Pure transmission","purple","violet","English",308,60,50,"no","22","male","Czech","no"
"16","seed dark rose","fxo2","1",0,"1",6,"seed dark rose","English","22","male","Czech",16597,"Pure transmission",50,50,60,60,327.55,328,372.2,327.55,44.2,98.9921612541994,0.449999999999989,0,"Pure transmission","purple","Wine purple","English",328,60,50,"no","22","male","Czech","no"
"17","seed dark rose","jc7z","0",4,"1",6,"seed dark rose","English","24","male","Croatian",26700,"Pure transmission",50,50,61,57,314,313,372.2,327.55,59.2,132.586786114222,1,4,"Pure transmission","purple","purple rose","English",313,57,50,"no","24","male","Croatian","no"
"18","seed dark rose","kfqn","0",6,"1",5,"seed dark rose","English","69","male","English",12808,"Pure transmission",50,50,76,81,298,310,372.2,327.55,62.2,139.305711086226,12,5,"Pure transmission","none","Crimillion","English",310,81,50,"no","69","male","English","no"
"19","seed dark rose","lhww","0",3,"2",6,"seed dark rose","English","22","female","polish",20300,"Naming transmission",50,50,61,62,321,313,372.2,327.55,59.2,132.586786114222,8,1,"Naming transmission","pink","fuchsia","English",313,62,50,"no","22","female","polish","no"
"20","seed dark rose","o0pu","0",4,"2",5,"seed dark rose","English","28","female","Swedish",13920,"Naming transmission",50,50,62,56,313,313,372.2,327.55,59.2,132.586786114222,0,6,"Naming transmission","purple","bright purple","English",313,56,50,"no","28","female","Swedish","no"
"21","seed dark rose","owq7","0",12,"2",6,"seed dark rose","English","23","male","Danish",7190,"Naming transmission",50,50,81,92,295,295,372.2,327.55,77.2,172.900335946249,0,11,"Naming transmission","purple","purple","English",295,92,50,"no","23","male","Danish","no"
"22","seed dark rose","pdov","0",2,"2",4,"seed dark rose","English","45","male","English",38904,"Naming transmission",50,50,46,61,328,321,372.2,327.55,51.2,114.669652855543,7,15,"Naming transmission","purple","fuchsia","English",321,61,50,"no","45","male","English","no"
"23","seed dark rose","q7e4","0",8,"2",5,"seed dark rose","English","23","male","German",6611,"Naming transmission",50,50,53,60,312,302,372.2,327.55,70.2,157.222844344905,10,7,"Naming transmission","purple","light purple","English",302,60,50,"no","23","male","German","no"
"24","seed dark rose","qtjv","0",11,"2",3,"seed dark rose","English","29","female","Estonian",40720,"Naming transmission",50,50,56,81,306,295,372.2,327.55,77.2,172.900335946249,11,25,"Naming transmission","purple","violet","English",295,81,50,"no","29","female","Estonian","no"
"25","seed dark rose","rd5a","0",7,"1",6,"seed dark rose","English","29","male","EnglishandArabic",3357,"Pure transmission",50,50,81,66,310,311,372.2,327.55,61.2,137.066069428891,1,15,"Pure transmission","purple","purple","English",311,66,50,"no","29","male","EnglishandArabic","no"
"26","seed dark rose","vnhp","0",3,"1",4,"seed dark rose","English","23","male","Russian",50678,"Pure transmission",50,50,65,61,311,314,372.2,327.55,58.2,130.347144456887,3,4,"Pure transmission","purple","Light acid purple","English",314,61,50,"no","23","male","Russian","no"
"27","seed dark rose","vpuu","0",1,"1",5,"seed dark rose","English","25","female","Spanish",16662,"Pure transmission",50,50,70,62,321,310,372.2,327.55,62.2,139.305711086226,11,8,"Pure transmission","pink","fucsia","English",310,62,50,"no","25","female","Spanish","no"
"28","seed dark rose","xfrb","0",8,"1",5,"seed dark rose","English","30","male","German",4591,"Pure transmission",50,50,66,59,311,313,372.2,327.55,59.2,132.586786114222,2,7,"Pure transmission","purple","violett","English",313,59,50,"no","30","male","German","no"
"29","seed dark rose","xh1c","0",0,"1",5,"seed dark rose","English","23","male","Czech",5140,"Pure transmission",50,50,60,70,327.55,321,372.2,327.55,51.2,114.669652855543,6.55000000000001,10,"Pure transmission","purple","magenta","English",321,70,50,"no","23","male","Czech","no"
"30","seed dark rose","yjkj","0",14,"2",6,"seed dark rose","English","23","female","Danish",11236,"Naming transmission",50,50,76,69,305,307,372.2,327.55,65.2,146.024636058231,2,7,"Naming transmission","pink","lillapink","English",307,69,50,"no","23","female","Danish","no"
"31","seed dark rose","yxz1","0",7,"2",5,"seed dark rose","English","28","female","English",26723,"Naming transmission",50,50,74,53,311,312,372.2,327.55,60.2,134.826427771557,1,21,"Naming transmission","purple","pink plum","English",312,53,50,"no","28","female","English","no"
"32","seed dark rose","zoz9","0",14,"1",1,"seed dark rose","English","22","female","Romanian",11084,"Pure transmission",50,50,57,53,308,323,372.2,327.55,49.2,110.190369540873,15,4,"Pure transmission","purple","purple","English",323,53,50,"no","22","female","Romanian","no"
"33","seed græsgrøn","0sgv","4",8,"2",6,"seed grass green","Danish","23","female","Dansk",23625,"Naming transmission",50,50,68,68,103,100,136.5,117.98,36.5,197.084233261339,3,0,"Naming transmission","green","nyslået græs","Danish",100,68,50,"no","23","female","Dansk","no"
"34","seed græsgrøn","0tnl","1",8,"2",6,"seed grass green","Danish","24","female","Dansk",3004,"Naming transmission",50,50,53,56,129,142,136.5,117.98,-5.5,-29.6976241900648,13,3,"Naming transmission","green","græs grøn","Danish",142,56,50,"no","24","female","Dansk","no"
"35","seed græsgrøn","1qhd","2",10,"2",1,"seed grass green","Danish","50","male","dansk",81038,"Naming transmission",50,50,70,63,94,129,136.5,117.98,7.5,40.4967602591793,35,7,"Naming transmission","green","lysegrøn","Danish",129,63,50,"no","50","male","dansk","no"
"36","seed græsgrøn","1spu","3",8,"1",6,"seed grass green","Danish","22","female","Dansk",12029,"Pure transmission",50,50,53,51,125,127,136.5,117.98,9.5,51.2958963282938,2,2,"Pure transmission","green","tegnefilmsgræs-grøn","Danish",127,51,50,"no","22","female","Dansk","no"
"37","seed græsgrøn","29mk","2",9,"2",3,"seed grass green","Danish","24","male","Dansk",30742,"Naming transmission",50,50,86,70,123,94,136.5,117.98,42.5,229.481641468683,29,16,"Naming transmission","green","cut grass green","Danish",94,70,50,"no","24","male","Dansk","no"
"38","seed græsgrøn","2aq2","4",0,"2",4,"seed grass green","Danish","21","male","Dansk",18222,"Naming transmission",50,50,60,66,117.98,120,136.5,117.98,16.5,89.0928725701944,2.02,6,"Naming transmission","green","Grøn","Danish",120,66,50,"no","21","male","Dansk","no"
"39","seed græsgrøn","2e48","0",12,"2",4,"seed grass green","Danish","24","female","Dansk",28308,"Naming transmission",50,50,67,56,118,107,136.5,117.98,29.5,159.287257019438,11,11,"Naming transmission","green","Klar grøn","Danish",107,56,50,"no","24","female","Dansk","no"
"40","seed græsgrøn","2h6d","4",6,"1",5,"seed grass green","Danish","29","female","Dansk",14147,"Pure transmission",50,50,75,69,122,112,136.5,117.98,24.5,132.289416846652,10,6,"Pure transmission","green","Slimgrøn","Danish",112,69,50,"no","29","female","Dansk","no"
"41","seed græsgrøn","2l8a","1",1,"2",6,"seed grass green","Danish","22","male","Lykke",21027,"Naming transmission",50,50,64,65,108,112,136.5,117.98,24.5,132.289416846652,4,1,"Naming transmission","green","Syntetisk græs","Danish",112,65,50,"no","22","male","Lykke","no"
"42","seed græsgrøn","2uz9","2",10,"1",4,"seed grass green","Danish","23","male","dansk",21633,"Pure transmission",50,50,80,79,99,109,136.5,117.98,27.5,148.488120950324,10,1,"Pure transmission","green","lys grøn","Danish",109,79,50,"no","23","male","dansk","no"
"43","seed græsgrøn","2zbd","0",10,"1",3,"seed grass green","Danish","24","female","rumænsk",23792,"Pure transmission",50,50,74,64,121,114,136.5,117.98,22.5,121.490280777538,7,10,"Pure transmission","green","neon-grøn","Danish",114,64,50,"no","24","female","rumænsk","no"
